#root,dhatu,gana,meanings
kumAra1,kumAra,curAxiH,krIdAyAm
kumb1,kubiz,BvAxiH,AcCAxane
kumb2,kubiz,curAxiH,AcCAxane
kumB1,kuBiz,curAxiH,AcCAxane
kur1,kuraz,wuxAxiH,Sabxe
kurx1,kurxaz,BvAxiH,krIdAyAmeva
kul1,kulaz,BvAxiH,saMswyAne banXuRu ca
kuR1,kuRaz,kryAxiH,niRkarRe
kus1,kusaz,xivAxiH,saMSleRaNe
kusm1,kusmaz,curAxiH,nAmno vA kuwsirasmayane
kuha1,kuha,curAxiH,vismApane
kuMS1,kuSiz,curAxiH,BARArWaH
kuMs1,kusiz,curAxiH,BARArWaH
#kU1,kUf,wuxAxiH,Sabxe
kUj1,kUjaz,BvAxiH,avyakwe Sabxe
kUta1,kUta,curAxiH,pariwApe
kUt1,kUtaz,curAxiH,ApraxAne avasAxane iwyeke
#kUNa1,kUNa,curAxiH,MISSING
kUN1,kUNaz,curAxiH,safkoce
kUl1,kUlaz,BvAxiH,AvaraNe
kq1,kqF,BvAxiH,MISSING
kq2,kqF,svAxiH,hiMsAyAm
kq3,dukqF,wanAxiH,karaNe
kqd1,kqdaz,wuxAxiH,Ganawve
kqNv1,kqviz,BvAxiH,hiMsAkaraNayoSca
kqw1,kqwIz,wuxAxiH,Cexane
kqw2,kqwIz,ruXAxiH,veRtane
kqpa3,kqpa,curAxiH,xOrbalye
kqp1,kqpUz,BvAxiH,sAmarWye
kqp2,kqpaz,curAxiH,avakalkane
kqS1,kqSaz,xivAxiH,wanUkaraNe
kqR1,kqRaz,BvAxiH,vileKane
kqR2,kqRaz,wuxAxiH,vileKane
kQ1,kQ,wuxAxiH,vikRepe
kQ2,kQF,kryAxiH,hiMsAyAm
#kQ3,kQ,kryAxiH,hiMsAyAm
kQw1,kQwaz,curAxiH,saMSabxane
kep1,kepqz,BvAxiH,kampane
kel1,keLz,BvAxiH,calane
#kev1,kevqz,BvAxiH,sevane
#kE1,kE,BvAxiH,Sabxe
kaMs1,kasiz,axAxiH,gawiSAsanayoH
#kLp1,kLpaz,curAxiH,MISSING
#knas1,knasuz,BvAxiH,MISSING
knas2,knasuz,xivAxiH,haraNaxIpwyoH
#knU1,knUF,kryAxiH,Sabxe
knUy1,knUyIz,BvAxiH,Sabxe unxe ca
kmar1,kmaraz,BvAxiH,hUrcCane
kraW1,kraWaz,BvAxiH,hiMsArWaH
#kraW2,kraWaz,curAxiH,MISSING
krax1,kraxaz,BvAxiH,MISSING
kranx1,kraxiz,BvAxiH,AhvAne roxane ca
kranx2,kraxiz,BvAxiH,vEkalye
krap1,krapaz,BvAxiH,kqpAyAM gawO ca
kram1,kramuz,BvAxiH,pAxavikRepe
krI1,dukrIF,kryAxiH,xravyavinimaye
krId1,krIdqz,BvAxiH,vihAre
#kru1,kruf,BvAxiH,Sabxe
kruFc1,kruFcaz,BvAxiH,kOtilyAlpI BAvayoH
krud1,krudaz,wuxAxiH,samvaraNe
kruX1,kruXaz,xivAxiH,kroXe
kruS1,kruSaz,BvAxiH,AhvAne roxane ca
klaW1,klaWaz,BvAxiH,hiMsArWaH
#klax1,klaxaz,BvAxiH,MISSING
klanx1,klaxiz,BvAxiH,AhvAne roxane ca
klanx2,klaxiz,BvAxiH,vEkalye vEkalye iwyeke
klap1,klapaz,curAxiH,vyakwAyAM vAci
klam1,klamuz,xivAxiH,glAnO
klix1,klixUz,xivAxiH,ArxrIBAve
klinx1,klixiz,BvAxiH,parixevane
klinx2,klixiz,BvAxiH,parixevane
kliS1,kliSaz,xivAxiH,upawApe
kliS2,kliSUz,kryAxiH,vibAXane
klIb1,klIbqz,BvAxiH,aXArRtye
#klu1,kluf,BvAxiH,MISSING
kleS1,kleSaz,BvAxiH,avyakwAyAM vAci bAXana iwyanye
kvaN1,kvaNaz,BvAxiH,SabxArWaH
kvaW1,kvaWez,BvAxiH,niRpAke
kRaFj1,kRajiz,BvAxiH,gawixAnayoH
kRaN1,kRaNuz,wanAxiH,hiMsAyAm
kRam1,kRamUzR,BvAxiH,sahane
#kRam2,kRamUzR,xivAxiH,sahane
kRamp1,kRapiz,curAxiH,kRAnwyAm
kRar1,kRaraz,BvAxiH,saFcalane
kRal1,kRalaz,curAxiH,SOcakarmaNi
kRi1,kRi,BvAxiH,kRaye
kRi2,kRi,svAxiH,hiMsAyAm
kRi3,kRi,wuxAxiH,nivAsagawyoH
kRiN1,kRiNuz,wanAxiH,hiMsAyAm
kRipa1,kRipa,curAxiH,preraNe
kRip1,kRipaz,xivAxiH,preraNe
kRip2,kRipaz,wuxAxiH,preraNe
#kRI1,kRIR,kryAxiH,hiMsAyAm
kRIj1,kRIjaz,BvAxiH,avyakwe Sabxe
kRIb1,kRIbqz,BvAxiH,maxe
kRIv1,kRIvuz,BvAxiH,nirasane
kRu1,tukRu,axAxiH,Sabxe
kRux1,kRuxizr,ruXAxiH,sampreRaNe
kRuX1,kRuXaz,xivAxiH,buBukRAyAm
kRuB1,kRuBaz,BvAxiH,saFcalane
kRuB2,kRuBaz,xivAxiH,saFcalane
kRuB3,kRuBaz,kryAxiH,saMcalane
kRur1,kRuraz,wuxAxiH,vileKane
kRev1,kRevuz,BvAxiH,nirasane
kRE1,kRE,BvAxiH,kRaye
kRota1,kRota,curAxiH,kRepe
kRNu1,kRNu,axAxiH,wejane
kRmAy1,kRmAyIz,BvAxiH,viXUnane
kRmIl1,kRmIlaz,BvAxiH,nimeRaNe
kRvix1,FikRvixAz,BvAxiH,
kRvix2,FikRvixAz,xivAxiH,snahenamocanayoH
kRvel1,kRveLz,BvAxiH,calane
Kac1,Kacaz,kryAxiH,BUwaprAxurBAve
Kaj1,Kajaz,BvAxiH,manWe
KaFj1,Kajiz,BvAxiH,gawivEkalye
#Kat1,Kataz,BvAxiH,kAfkRAyAm
Katt1,Kattaz,curAxiH,saMvaraNe
Kad1,Kadaz,curAxiH,Bexane
KaNd1,Kadiz,BvAxiH,manWe
KaNd2,Kadiz,curAxiH,Bexane
Kax1,Kaxaz,BvAxiH,sWErye hiMsAyAM BakRaNe ca
Kan1,Kanuz,BvAxiH,avaxAraNe
#Karj1,Karjaz,BvAxiH,vyaWane pUjane ca
